Date,Open,High,Low,Close,Adj Close,Volume
2023-10-24,71.959999,72.830002,71.760002,72.209999,71.679916,309000
2023-10-25,71.779999,72.739998,71.620003,72.510002,71.977715,309500
2023-10-26,72.559998,73.300003,72.379997,72.680000,72.146469,229000
2023-10-27,72.739998,73.110001,71.540001,72.169998,71.640205,207800
2023-10-30,72.760002,72.830002,71.519997,71.669998,71.143883,169200
2023-10-31,68.040001,68.480003,61.939999,62.490002,62.031273,992500
2023-11-01,62.799999,64.470001,61.820000,64.050003,63.579823,378800
2023-11-02,64.410004,66.500000,64.410004,66.500000,66.011833,308100
2023-11-03,67.379997,67.379997,66.029999,66.820000,66.329483,176400
2023-11-06,66.639999,67.720001,66.570000,67.709999,67.212952,197500
2023-11-07,67.800003,67.800003,66.970001,67.410004,66.915154,141700
2023-11-08,67.660004,67.660004,66.790001,67.430000,66.935005,143500
2023-11-09,67.940002,67.940002,65.480003,65.620003,65.138298,230300
2023-11-10,65.730003,66.099998,65.050003,65.550003,65.068810,234400
2023-11-13,65.180000,66.269997,64.940002,65.760002,65.277267,93200
2023-11-14,67.110001,68.769997,67.110001,68.699997,68.195679,151900
2023-11-15,68.599998,70.010002,68.279999,68.750000,68.245316,198900
2023-11-16,68.269997,68.709999,67.139999,67.379997,66.885368,263400
2023-11-17,67.860001,67.900002,67.139999,67.260002,66.766258,257200
2023-11-20,67.089996,67.720001,66.980003,67.629997,67.133537,132800
2023-11-21,67.500000,67.500000,66.790001,67.099998,66.607430,105900
2023-11-22,67.559998,68.000000,67.190002,67.570000,67.073982,71400
2023-11-24,67.489998,68.010002,67.370003,67.830002,67.332069,37700
2023-11-27,67.930000,68.190002,67.580002,67.870003,67.371780,75800
2023-11-28,67.680000,68.489998,67.519997,68.279999,67.778763,91500
2023-11-29,68.529999,69.250000,67.599998,67.610001,67.113686,124900
2023-11-30,68.000000,68.800003,66.949997,67.389999,66.895302,175400
2023-12-01,67.820000,69.800003,67.480003,69.589996,69.079147,169800
2023-12-04,69.139999,70.769997,69.139999,69.940002,69.426582,179800
2023-12-05,69.660004,69.959999,69.169998,69.879997,69.367020,122000
